Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;Matches
363;Lorenzo Montipò;it ITA;GK;Hellas Verona;30-092;1996;34;34;3,060;34.0;0;1;1;0;0;0;0;0;0.00;0.03;0.03;0.00;0.03;Matches
364;Álvaro Morata;es ESP;FW;Como;33-212;1992;25;9;922;10.2;0;1;1;0;0;1;4;1;0.00;0.10;0.10;0.00;0.10;Matches
365;Alberto Moreno;es ESP;DF;Como;33-322;1992;18;12;1,158;12.9;2;1;3;2;0;0;3;0;0.16;0.08;0.23;0.16;0.23;Matches
366;Tete Morente;es ESP;FW,MF;Lecce;29-170;1996;16;9;859;9.5;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
367;Stefano Moreo;it ITA;FW,MF;Pisa;32-327;1993;36;28;2,217;24.6;6;1;7;4;2;2;2;0;0.24;0.04;0.28;0.16;0.20;Matches
368;Luca Moro;it ITA;FW;Sassuolo;25-118;2001;14;1;211;2.3;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
369;Nikola Moro;hr CRO;MF;Bologna;28-072;1998;29;19;1,774;19.7;2;0;2;2;0;0;1;0;0.10;0.00;0.10;0.10;0.10;Matches
370;Mattia Mosconi;it ITA;FW;Inter;19-058;2007;2;0;27;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
371;Daniel Mosquera;co COL;FW;Hellas Verona;26-215;1999;22;5;597;6.6;0;2;2;0;0;0;1;0;0.00;0.30;0.30;0.00;0.30;Matches
372;Edoardo Motta;it ITA;GK;Lazio;21-130;2005;9;9;810;9.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
373;Tarik Muharemovic;ba BIH;DF;Sassuolo;23-084;2003;32;32;2,835;31.5;2;2;4;2;0;0;7;0;0.06;0.06;0.13;0.06;0.13;Matches
374;Arijanet Muric;xk KVX;GK;Sassuolo;27-197;1998;32;32;2,880;32.0;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
375;Yunus Musah;us USA;MF;Milan;23-175;2002;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
376;Yunus Musah;us USA;MF;Atalanta;23-175;2002;19;4;574;6.4;1;0;1;1;0;0;1;0;0.16;0.00;0.16;0.16;0.16;Matches
377;Cheveyo Muy;nl NED;FW;Milan;19-156;2006;2;0;5;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
378;Obite N'Dicka;ci CIV;DF;Roma;26-276;1999;31;31;2,680;29.8;3;0;3;3;0;0;5;0;0.10;0.00;0.10;0.10;0.10;Matches
379;Konan N'dri;ci CIV;MF;Lecce;25-208;2000;26;1;518;5.8;2;0;2;2;0;0;3;0;0.35;0.00;0.35;0.35;0.35;Matches
380;Corrie Ndaba;ie IRL;DF;Lecce;26-149;1999;14;6;543;6.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
381;Michel Ndary Adopo;fr FRA;MF;Cagliari;25-308;2000;37;32;2,960;32.9;1;2;3;1;0;0;4;0;0.03;0.06;0.09;0.03;0.09;Matches
382;Abdoulaye Ndiaye;sn SEN;DF;Parma;24-043;2002;10;9;750;8.3;0;0;0;0;0;0;5;1;0.00;0.00;0.00;0.00;0.00;Matches
383;Cher Ndour;it ITA;MF;Fiorentina;21-300;2004;33;20;1,876;20.8;3;0;3;3;0;0;2;0;0.14;0.00;0.14;0.14;0.14;Matches
384;Victor Nelsson;dk DEN;DF;Hellas Verona;27-221;1998;37;36;3,225;35.8;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
385;David Neres;br BRA;FW,MF;Napoli;29-081;1997;16;10;922;10.2;3;3;6;3;0;0;3;0;0.29;0.29;0.59;0.29;0.59;Matches
386;Oumar Ngom;mr MTN;MF;Lecce;22-075;2004;14;9;797;8.9;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
387;Cyril Ngonge;be BEL;FW;Torino;25-362;2000;20;11;994;11.0;1;1;2;1;0;0;2;0;0.09;0.09;0.18;0.09;0.18;Matches
388;Mikayil Ngor Faye;sn SEN;MF,DF;Cremonese;21-313;2004;8;2;254;2.8;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
389;Cheikh Niasse;sn SEN;MF;Hellas Verona;26-124;2000;19;11;970;10.8;0;1;1;0;0;0;1;0;0.00;0.09;0.09;0.00;0.09;Matches
390;Hans Nicolussi Caviglia;it ITA;MF;Fiorentina;25-339;2000;11;7;585;6.5;0;1;1;0;0;0;4;0;0.00;0.15;0.15;0.00;0.15;Matches
391;Hans Nicolussi Caviglia;it ITA;MF;Parma;25-339;2000;14;9;779;8.7;0;3;3;0;0;0;0;0;0.00;0.35;0.35;0.00;0.35;Matches
392;Oliver Nielsen;dk DEN;DF;Lazio;22-353;2003;25;13;1,491;16.6;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
393;Alieu Njie;se SWE;MF,FW;Torino;21-009;2005;14;2;271;3.0;1;1;2;1;0;0;2;0;0.33;0.33;0.66;0.33;0.66;Matches
394;Niels Nkounkou;fr FRA;MF,DF;Torino;25-203;2000;10;3;327;3.6;0;1;1;0;0;0;3;0;0.00;0.28;0.28;0.00;0.28;Matches
395;Christopher Nkunku;fr FRA;FW;Milan;28-190;1997;31;14;1,296;14.4;7;3;10;2;5;5;0;0;0.49;0.21;0.69;0.14;0.35;Matches
396;Brooke Norton-Cuffy;eng ENG;MF,DF;Genoa;22-131;2004;26;25;2,181;24.2;2;1;3;2;0;0;5;1;0.08;0.04;0.12;0.08;0.12;Matches
397;Tijjani Noslin;nl NED;FW;Lazio;26-320;1999;28;8;1,058;11.8;4;1;5;4;0;0;5;1;0.34;0.09;0.43;0.34;0.43;Matches
398;Unai Núñez;es ESP;DF;Hellas Verona;29-113;1997;17;15;1,265;14.1;0;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;Matches
399;Joi Nuredini;al ALB;FW;Genoa;18-291;2007;1;0;2;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
400;M'Bala Nzola;ao ANG;FW;Sassuolo;29-278;1996;13;4;448;5.0;1;1;2;1;0;0;1;0;0.20;0.20;0.40;0.20;0.40;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
401;M'Bala Nzola;ao ANG;FW;Pisa;29-278;1996;16;11;1,052;11.7;3;0;3;1;2;3;1;1;0.26;0.00;0.26;0.09;0.09;Matches
402;Adam Obert;sk SVK;DF,MF;Cagliari;23-273;2002;34;32;2,681;29.8;0;3;3;0;0;0;10;1;0.00;0.10;0.10;0.00;0.10;Matches
403;Rafel Obrador;es ESP;MF;Torino;22-088;2004;15;13;1,054;11.7;1;2;3;1;0;0;1;0;0.09;0.17;0.26;0.09;0.26;Matches
404;Cas Odenthal;nl NED;DF;Sassuolo;25-239;2000;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
405;Jens Odgaard;dk DEN;MF;Bologna;27-053;1999;25;16;1,353;15.0;5;1;6;5;0;0;1;0;0.33;0.07;0.40;0.33;0.40;Matches
406;David Odogu;de GER;DF;Milan;19-354;2006;2;0;6;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
407;David Okereke;ng NGA;FW,MF;Cremonese;28-267;1997;10;3;403;4.5;2;0;2;2;0;0;0;0;0.45;0.00;0.45;0.45;0.45;Matches
408;Maduka Okoye;ng NGA;GK;Udinese;26-268;1999;29;29;2,526;28.1;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;Matches
409;Mathías Olivera;uy URU;DF,MF;Napoli;28-204;1997;24;14;1,325;14.7;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
410;Jean Onana;cm CMR;MF;Genoa;26-135;2000;3;0;45;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
411;Jacob Ondrejka;se SWE;FW,MF;Parma;23-263;2002;16;9;773;8.6;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
